,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,prev_sold_year
637058,for_sale,3.0,3.0,0.01,Philadelphia,Pennsylvania,19148.0,2016.0,,659900.0,
637059,for_sale,3.0,2.0,0.15,Chester,Pennsylvania,19013.0,1602.0,2011-12-29,195000.0,2011.0
637061,for_sale,2.0,1.0,0.01,Philadelphia,Pennsylvania,19140.0,760.0,,135000.0,
637062,for_sale,2.0,1.0,0.02,Philadelphia,Pennsylvania,19148.0,784.0,1985-10-02,265000.0,1985.0
637063,for_sale,3.0,1.0,0.03,Philadelphia,Pennsylvania,19132.0,1028.0,2022-01-31,129900.0,2022.0
637065,for_sale,3.0,1.0,0.03,Philadelphia,Pennsylvania,19140.0,1140.0,1994-12-08,199900.0,1994.0
637066,for_sale,2.0,1.0,0.02,Philadelphia,Pennsylvania,19125.0,828.0,,110000.0,
637067,for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,19146.0,840.0,2018-01-29,180000.0,2018.0
637068,for_sale,6.0,2.0,0.04,Philadelphia,Pennsylvania,19140.0,2272.0,2019-07-12,230000.0,2019.0
637070,for_sale,4.0,3.0,0.13,Philadelphia,Pennsylvania,19118.0,3336.0,2016-06-20,1050000.0,2016.0
637071,for_sale,2.0,,0.03,Philadelphia,Pennsylvania,19140.0,1346.0,2020-09-24,139000.0,2020.0
637072,for_sale,4.0,3.0,0.57,Newtown Square,Pennsylvania,19073.0,2885.0,2006-06-29,439900.0,2006.0
637074,for_sale,4.0,3.0,0.02,Philadelphia,Pennsylvania,19133.0,2300.0,2020-01-07,389900.0,2020.0
637076,for_sale,,1.0,,Philadelphia,Pennsylvania,19107.0,388.0,2007-01-24,108000.0,2007.0
637078,for_sale,6.0,6.0,0.06,Philadelphia,Pennsylvania,19133.0,2760.0,,275000.0,
637079,for_sale,1.0,1.0,,Philadelphia,Pennsylvania,19103.0,871.0,,259000.0,
637082,for_sale,2.0,3.0,0.02,Philadelphia,Pennsylvania,19121.0,1014.0,2018-08-28,240000.0,2018.0
